episode,seed,return,steps,terminated,truncated,epsilon,time
1,20250308,-200.0,200,False,True,1.0,0.004919834027532488
2,20250309,-200.0,200,False,True,0.9995,0.002195790992118418
3,20250310,-200.0,200,False,True,0.9990002500000001,0.002058665966615081
4,20250311,-200.0,200,False,True,0.9985007498750001,0.0020312080159783363
5,20250312,-200.0,200,False,True,0.9980014995000627,0.001948416989762336
6,20250313,-200.0,200,False,True,0.9975024987503127,0.0019457080052234232
7,20250314,-200.0,200,False,True,0.9970037475009376,0.0020901249954476953
8,20250315,-200.0,200,False,True,0.9965052456271871,0.002314832992851734
9,20250316,-200.0,200,False,True,0.9960069930043736,0.0022031250409781933
10,20250317,-200.0,200,False,True,0.9955089895078715,0.001973083009943366
11,20250318,-200.0,200,False,True,0.9950112350131176,0.001925583987031132
12,20250319,-200.0,200,False,True,0.9945137293956111,0.0019098340417258441
13,20250320,-200.0,200,False,True,0.9940164725309134,0.0017991250497289002
14,20250321,-200.0,200,False,True,0.993519464294648,0.0018563340418040752
15,20250322,-200.0,200,False,True,0.9930227045625007,0.0018841669661924243
16,20250323,-200.0,200,False,True,0.9925261932102195,0.0018784170388244092
17,20250324,-200.0,200,False,True,0.9920299301136144,0.001823625003453344
18,20250325,-200.0,200,False,True,0.9915339151485576,0.001806250016670674
19,20250326,-200.0,200,False,True,0.9910381481909833,0.0018139579915441573
20,20250327,-200.0,200,False,True,0.990542629116888,0.0018118330044671893
21,20250328,-200.0,200,False,True,0.9900473578023296,0.0018656669999472797
22,20250329,-200.0,200,False,True,0.9895523341234285,0.0018257080228067935
23,20250330,-200.0,200,False,True,0.9890575579563669,0.0018531249952502549
24,20250331,-200.0,200,False,True,0.9885630291773887,0.0018109160009771585
25,20250332,-200.0,200,False,True,0.9880687476628001,0.0017747500096447766
26,20250333,-200.0,200,False,True,0.9875747132889687,0.0018472090014256537
27,20250334,-200.0,200,False,True,0.9870809259323243,0.001835124974604696
28,20250335,-200.0,200,False,True,0.9865873854693582,0.001820584002416581
29,20250336,-200.0,200,False,True,0.9860940917766235,0.0018376249936409295
30,20250337,-200.0,200,False,True,0.9856010447307353,0.0018215420423075557
31,20250338,-200.0,200,False,True,0.98510824420837,0.0018132919794879854
32,20250339,-200.0,200,False,True,0.9846156900862658,0.0018710000440478325
33,20250340,-200.0,200,False,True,0.9841233822412228,0.002159374998882413
34,20250341,-200.0,200,False,True,0.9836313205501022,0.0019040000042878091
35,20250342,-200.0,200,False,True,0.9831395048898272,0.0018139159656129777
36,20250343,-200.0,200,False,True,0.9826479351373822,0.0018030839855782688
