episode,seed,return,steps,terminated,truncated,epsilon,time
1,20250310,-200.0,200,False,True,1.0,0.22215466701891273
2,20250311,-200.0,200,False,True,0.995,0.12873141700401902
3,20250312,-200.0,200,False,True,0.990025,0.09187695902073756
4,20250313,-180.0,180,True,False,0.985074875,0.11546108301263303
5,20250314,-200.0,200,False,True,0.9801495006250001,0.09788579103769735
6,20250315,-200.0,200,False,True,0.9752487531218751,0.10300750000169501
7,20250316,-200.0,200,False,True,0.9703725093562657,0.12527741602389142
8,20250317,-200.0,200,False,True,0.9655206468094844,0.11310908303130418
9,20250318,-200.0,200,False,True,0.960693043575437,0.10741633403813466
10,20250319,-200.0,200,False,True,0.9558895783575597,0.0911457080510445
11,20250320,-200.0,200,False,True,0.9511101304657719,0.07767491700360551
12,20250321,-200.0,200,False,True,0.946354579813443,0.0933520839898847
13,20250322,-200.0,200,False,True,0.9416228069143757,0.08215179102262482
14,20250323,-200.0,200,False,True,0.9369146928798039,0.08435941697098315
15,20250324,-200.0,200,False,True,0.9322301194154049,0.07737637497484684
16,20250325,-200.0,200,False,True,0.9275689688183278,0.0785777079872787
17,20250326,-200.0,200,False,True,0.9229311239742362,0.09073849994456396
18,20250327,-200.0,200,False,True,0.918316468354365,0.095123291015625
19,20250328,-200.0,200,False,True,0.9137248860125932,0.07979212497593835
20,20250329,-200.0,200,False,True,0.9091562615825302,0.09294229099759832
21,20250330,-200.0,200,False,True,0.9046104802746175,0.08081183297326788
22,20250331,-200.0,200,False,True,0.9000874278732445,0.08390083396807313
23,20250332,-200.0,200,False,True,0.8955869907338783,0.08248891599941999
24,20250333,-200.0,200,False,True,0.8911090557802088,0.0849037499865517
25,20250334,-200.0,200,False,True,0.8866535105013078,0.11638437502551824
26,20250335,-200.0,200,False,True,0.8822202429488013,0.09962383401580155
27,20250336,-200.0,200,False,True,0.8778091417340573,0.11111316701862961
28,20250337,-125.0,125,True,False,0.8734200960253871,0.05058649997226894
29,20250338,-200.0,200,False,True,0.8690529955452602,0.09140008297981694
30,20250339,-200.0,200,False,True,0.8647077305675338,0.07584904105169699
31,20250340,-200.0,200,False,True,0.8603841919146962,0.08754245797172189
32,20250341,-200.0,200,False,True,0.8560822709551227,0.07700895803282037
33,20250342,-200.0,200,False,True,0.851801859600347,0.07892504101619124
34,20250343,-200.0,200,False,True,0.8475428503023453,0.08082608395488933
35,20250344,-200.0,200,False,True,0.8433051360508336,0.0806890829699114
36,20250345,-200.0,200,False,True,0.8390886103705794,0.14990420802496374
37,20250346,-200.0,200,False,True,0.8348931673187264,0.17949924996355549
38,20250347,-200.0,200,False,True,0.8307187014821328,0.135697582969442
39,20250348,-200.0,200,False,True,0.8265651079747222,0.14020974998129532
40,20250349,-200.0,200,False,True,0.8224322824348486,0.10263591696275398
